species	organism	species_name	Number of contigs	Contig L50	Number of spanned gaps	Proportion of repeat elements	Length of masekd repeat elements	Genome size	Ungapped base pair	Adjusted N50 in scaffold	Adjusted N75 in scaffold	Adjusted N90 in scaffold	Adjusted N50 in contig	Adjusted N75 in contig	Adjusted N90 in contig
Rhinolophus ferrumequinum	Mammalia	R.ferrumequinum	290	22	155	0.2854	592372960	2075785400	2068239309	0.042405994	0.029137282	0.02159061	0.015367917	0.006728232	0.002955198
Rhinopithecus roxellana	Mammalia	R.roxellana	196804	10825	61291	0.4546	1318242979	2899551855	2856043601	0.000534298	0.000241812	7.64E-05	2.66E-05	1.35E-05	6.21E-06
Saccharomyces cerevisiae	Saccharomycetes	S.cerevisiae	16	6	0	0.049	595151	12071326	12071326	0.076580734	0.055239665	0.036440736	0.076580734	0.055239665	0.036440736
Salmo salar	Actinopteri	S.salar	4222	33	0	0.5628	1551541077	2756584103	2756563003	0.010178862	0.003467978	0.000377701	0.010178862	0.003467978	0.000377701
Salmo trutta	Actinopteri	S.trutta	5377	294	3937	NA	NA	2371863509	2298262820	0.022012087	0.019221107	0.010744052	0.000718076	0.000215515	7.48555E-05
Sander lucioperca	Actinopteri	S.lucioperca	1347	54	35	0.4363	392901931	900461225	900436657	0.005474469	0.001992931	0.00063717	0.005214655	0.001973549	0.000608544
Sarcophilus harrisii	Mammalia	S.harrisii	444	14	339	0.3762	1161066599	3086657325	3086610579	0.198061269	0.150614404	0.082579941	0.020196475	0.007321443	0.003124447
Scophthalmus maximus	Actinopteri	S.maximus	177	11	51	0.1795	99948656	556679315	556677155	0.046615097	0.041569279	0.036765061	0.036765061	0.033241208	0.018803738
Seriola dumerili	Actinopteri	S.dumerili	41187	770	6532	0.2029	137488669	677669644	672111389	0.008577787	0.003215443	0.001319405	0.00036855	0.000179469	8.18E-05
Sparus aurata	Actinopteri	S.aurata	1223	75	1048	0.2687	224005405	833578411	833236149	0.042936903	0.037246337	0.034053473	0.00343414	0.001144426	0.000367541
Sus scrofa	Livestock animals	S.scrofa	1117	15	413	0.3991	998613041	2501895775	2472031134	0.035265992	0.020836555	0.00919738	0.019277892	0.007784078	0.003498622
Taeniopygia guttata	Aves	T.guttata	444	22	309	0.0972	102803765	1058012133	1055677902	0.066568805	0.020809791	0.010438934	0.011340916	0.004667425	0.001706293
Takifugu rubripes	Actinopteri	T.rubripes	529	35	402	0.1352	51941257	384110215	380421686	0.043491561	0.040284333	0.03361858	0.00816593	0.003336602	0.000710132
Ursus maritimus	Mammalia	U.maritimus	134161	14124	110343	0.3405	783692774	2301362327	2263004917	0.006926619	0.003251561	0.001398927	2.02E-05	9.97E-06	4.52E-06
Xenopus tropicalis	Amphibia	X.tropicalis	850	32	684	0.438	635679214	1451283599	1448444368	0.106086308	0.101456056	0.062853976	0.010083718	0.0039478	0.001325829
Xiphophorus maculatus	Actinopteri	X.maculatus	257	25	156	0.2658	187189187	704304519	700976614	0.044775364	0.039577673	0.035863413	0.013036083	0.006693582	0.002147289
Zonotrichia albicollis	Aves	Z.albicollis	37661	2385	31643	0.0792	83329645	1052600561	1006303327	0.004623525	0.001787137	0.000516387	0.000107114	4.09E-05	1.29E-05
